Id Label Weight
都尉 都尉 1
班師回 班師回 1
今吾兵 今吾兵 1
諸葛亮 諸葛亮 33
汝三人 汝三人 1
黃旗 黃旗 1
廖化 廖化 5
孔明乃 孔明乃 1
望風 望風 1
漢祿 漢祿 1
陳倉 陳倉 2
保汝為 保汝為 1
汝曹氏 汝曹氏 1
吳懿 吳懿 4
容汝蜀 容汝蜀 1
原來薑維引一彪軍悄 原來薑維引一彪軍悄 1
谷撫慰 谷撫慰 1
于祁山 于祁山 1
仁厚 仁厚 1
張翼 張翼 3
司馬懿 司馬懿 19
張嶷 張嶷 4
廖化引 廖化引 1
汝言 汝言 1
曹真寨 曹真寨 1
汝乃 汝乃 2
王平 王平 4
大雨淋 大雨淋 1
孔明笑 孔明笑 4
魏兵方 魏兵方 1
魏兵塞 魏兵塞 1
秋雨 秋雨 1
汝之功 汝之功 1
秦良 秦良 3
徐徐 徐徐 1
秦良引 秦良引 2
司馬 司馬 1
魏寨 魏寨 1
關興 關興 7
仰天 仰天 3
守一 守一 1
楊儀 楊儀 2
連洛陽 連洛陽 1
汝若能勝 汝若能勝 1
杜瓊 杜瓊 4
張虎 張虎 3
魏軍 魏軍 4
祁山之 祁山之 5
孔明自 孔明自 3
曹子丹 曹子丹 2
孫臏 孫臏 1
令汝 令汝 1
馬岱 馬岱 4
孔明入 孔明入 1
吳班 吳班 4
孔明曰 孔明曰 11
何顏入 何顏入 1
汝可回 汝可回 1
孔明收 孔明收 1
陳式 陳式 12
武侯 武侯 1
武鄉侯 武鄉侯 1
鄧芝 鄧芝 4
苟安 苟安 7
魏延 魏延 9
魏陣 魏陣 1
曹真 曹真 19
若大軍 若大軍 1
李嚴 李嚴 2
於洛陽 於洛陽 1
孔明先 孔明先 1
馬忠 馬忠 3
益耶 益耶 1
戴陵 戴陵 3
汝若敗 汝若敗 1
汝安敢 汝安敢 2
祁山乃 祁山乃 1
養軍 養軍 1
宣孔明 宣孔明 2
孔明坐 孔明坐 1
孔明必 孔明必 1
齊鳴 齊鳴 1
歸寨升 歸寨升 1
布散 布散 2
汝二人 汝二人 1
汝欲鬥 汝欲鬥 1
托孤 托孤 1
虞詡 虞詡 1
魏兵守 魏兵守 1
伏兵 伏兵 4
諸郡 諸郡 1
小蜀兵 小蜀兵 2
真若見 真若見 1
蔣琬 蔣琬 1
曠野 曠野 1
望東 望東 1
汝等亦 汝等亦 1
汝識吾 汝識吾 1
魏兵 魏兵 11
聞陣 聞陣 1
日晴明 日晴明 1
漢兵 漢兵 1
史官 史官 1
戈甲 戈甲 1
吳二 吳二 1
