Id Label Weight
望見一 望見一 1
孟優 孟優 1
魏延分 魏延分 1
祝融 祝融 8
茅廬 茅廬 1
金寶 金寶 1
班師 班師 1
孔明笑 孔明笑 2
白旗 白旗 5
呂凱 呂凱 1
帶來洞主 帶來洞主 8
言若何 言若何 1
孔明乃 孔明乃 1
兀突骨 兀突骨 23
何時耶 何時耶 1
孫孫皆 孫孫皆 1
孔明取 孔明取 1
孟獲 孟獲 47
於溪 於溪 1
祝融氏 祝融氏 1
何無智 何無智 1
延略 延略 1
魏延引 魏延引 6
諸惡獸 諸惡獸 1
張翼 張翼 2
士卒 士卒 1
汝之能 汝之能 1
盤蛇 盤蛇 1
牛宰馬 牛宰馬 1
班師早 班師早 1
趙雲 趙雲 13
伏於 伏於 1
王平 王平 1
諸葛亮 諸葛亮 55
魏延大 魏延大 1
奚泥 奚泥 1
弓弩 弓弩 2
朵思大王 朵思大王 3
魏延收 魏延收 1
望見蠻 望見蠻 1
諸蠻 諸蠻 1
林木 林木 3
何名 何名 1
汝家 汝家 1
於蜀兵 於蜀兵 1
梁都洞 梁都洞 1
楊鋒 楊鋒 2
孔明自 孔明自 1
立廟堂 立廟堂 1
不食五 不食五 1
英勇 英勇 1
汝可引 汝可引 1
孔明提 孔明提 1
於山澗 於山澗 1
魏文長 魏文長 1
木鹿大王 木鹿大王 8
孔明曰 孔明曰 5
馬岱 馬岱 8
生祠 生祠 1
生鱗甲 生鱗甲 1
言藥箭 言藥箭 1
孔明遂 孔明遂 2
張牙 張牙 2
魏延 魏延 17
莫測 莫測 1
毛赤兔 毛赤兔 1
馬布成 馬布成 1
張嶷 張嶷 11
何益焉 何益焉 1
馬忠 馬忠 7
陰德 陰德 1
忻然 忻然 2
金珠纓 金珠纓 2
齊鳴 齊鳴 1
馬索 馬索 1
汝二人 汝二人 1
土安 土安 1
王連 王連 1
諸軍 諸軍 1
若允 若允 1
席慶賀 席慶賀 1
汝見 汝見 1
聞南蠻 聞南蠻 1
南蠻 南蠻 2
魏延守 魏延守 2
陰雲 陰雲 1
王宗黨 王宗黨 1
孔明立 孔明立 1
布於 布於 1
