Id Label Weight
劉理 劉理 2
關公自 關公自 1
關某 關某 1
文醜 文醜 1
伍耶 伍耶 1
法正 法正 3
盛德 盛德 1
朱然引 朱然引 1
劉封 劉封 3
顏良 顏良 1
水淹 水淹 1
川之兵 川之兵 1
潘璋部 潘璋部 1
公亦 公亦 1
荊王 荊王 1
張三人 張三人 1
聞東 聞東 1
同守麥 同守麥 1
吳懿 吳懿 1
曹躁東 曹躁東 1
玄德再 玄德再 1
紫髯鼠 紫髯鼠 2
王甫 王甫 6
廖化至 廖化至 1
關公 關公 7
張飛 張飛 1
馬乘風 馬乘風 1
生二子 生二子 1
古解良 古解良 1
權大驚 權大驚 1
顧謂眾 顧謂眾 1
吳氏 吳氏 1
曹操 曹操 1
趙累 趙累 3
漢中王 漢中王 2
王乃依 王乃依 1
索耶 索耶 1
荊楚 荊楚 1
李豐 李豐 1
潘璋 潘璋 5
孫亮 孫亮 2
諸葛亮 諸葛亮 8
早夭 早夭 2
於中乘 於中乘 1
伏於臨 伏於臨 1
趙之勇 趙之勇 1
關羽 關羽 13
孟達 孟達 3
周郎 周郎 1
關平 關平 5
司馬懿 司馬懿 2
周倉 周倉 4
玉泉山 玉泉山 4
玄德曰 玄德曰 2
侍臣 侍臣 1
王侯 王侯 1
張昭 張昭 1
千秋 千秋 1
關興 關興 1
東吳危 東吳危 1
晉文之 晉文之 1
西蜀 西蜀 1
恩禮 恩禮 1
吳兵 吳兵 2
南征 南征 1
魯肅 魯肅 4
麥成 麥成 1
玄德大 玄德大 2
孫權 孫權 12
呂蒙 呂蒙 9
田禾 田禾 1
孔明入 孔明入 1
同宗 同宗 1
孔明曰 孔明曰 5
朱然 朱然 5
斯言 斯言 1
周瑜 周瑜 1
望君侯 望君侯 1
薄雲 薄雲 1
盛關公 盛關公 1
玄德自 玄德自 1
關公兵 關公兵 1
老僧 老僧 2
伊籍 伊籍 1
關將軍 關將軍 1
麥城 麥城 1
王妃 王妃 2
顧謂 顧謂 1
呂范 呂范 1
劉備 劉備 17
何異 何異 1
何懼哉 何懼哉 1
馬忠 馬忠 4
帝王 帝王 1
招安 招安 1
孫夫人 孫夫人 1
劉焉 劉焉 1
呂霸 呂霸 1
公大怒 公大怒 2
齊鳴 齊鳴 1
秦晉 秦晉 1
吳勝 吳勝 1
劉永 劉永 2
劉瑁 劉瑁 2
代之 代之 1
普淨 普淨 7
言東 言東 1
伏兵 伏兵 2
懷嬴乎 懷嬴乎 1
孤深愛 孤深愛 1
關公顯 關公顯 1
關公橫 關公橫 1
解之 解之 1
封侯 封侯 1
玄德疑 玄德疑 1
魏矣 魏矣 1
漢壽亭 漢壽亭 1
許靖 許靖 3
世之豪傑 世之豪傑 1
山明水秀 山明水秀 1
於其廟 於其廟 1
馬良 馬良 1
曹躁 曹躁 2
於山 於山 1
齊至 齊至 1
聞關公 聞關公 1
