Id Label Weight
張飛 張飛 11
文醜 文醜 1
曹躁俱 曹躁俱 1
曹軍 曹軍 3
玄德方 玄德方 1
公忠義 公忠義 1
何足惜 何足惜 1
顏良 顏良 1
加瑁 加瑁 1
雲乃 雲乃 1
蒯越 蒯越 4
德望 德望 1
鐘縉 鐘縉 1
糜夫人 糜夫人 9
于禁 于禁 2
劉曄 劉曄 2
曹兵 曹兵 3
雲應聲 雲應聲 1
玄德引 玄德引 1
幼君 幼君 1
玄德至 玄德至 1
玄德同 玄德同 1
袁紹 袁紹 1
張南 張南 1
劉備 劉備 31
孔明教 孔明教 1
玄德欲 玄德欲 1
夏侯恩 夏侯恩 3
關羽 關羽 5
王威 王威 4
探馬 探馬 1
望兄英 望兄英 1
懷抱 懷抱 1
文聘 文聘 5
晏明 晏明 1
阿斗 阿斗 9
趙雲 趙雲 35
鹿角 鹿角 1
言玄德 言玄德 1
魏延大 魏延大 1
雲自思 雲自思 1
馬引軍 馬引軍 1
富貴耳 富貴耳 1
趙將軍 趙將軍 1
荀攸 荀攸 2
許褚 許褚 2
孫乾 孫乾 2
寶劍 寶劍 2
玄德便 玄德便 1
蔡夫人 蔡夫人 4
諸葛 諸葛 1
玄德曰 玄德曰 7
雲乃拔青 雲乃拔青 1
諸葛亮 諸葛亮 5
劉琦 劉琦 2
劉表 劉表 2
簡雍 簡雍 8
佩之 佩之 2
賴將軍 賴將軍 1
何言 何言 1
何遂 何遂 1
玄德大 玄德大 2
馬望南 馬望南 1
徐庶 徐庶 5
延乃撥 延乃撥 1
解開勒 解開勒 1
馬延 馬延 1
仲保 仲保 1
關內侯 關內侯 1
孔明曰 孔明曰 5
望將軍 望將軍 2
齊聲 齊聲 1
玄德自 玄德自 1
糜二夫人 糜二夫人 1
魏延 魏延 4
向西 向西 1
曹躁許 曹躁許 1
曹躁大軍 曹躁大軍 1
孔明先 孔明先 1
呼玄德 呼玄德 1
紅光 紅光 1
糜竺 糜竺 6
龍輔佐 龍輔佐 1
聞者 聞者 1
雲厲聲 雲厲聲 1
曹洪 曹洪 4
王雙 王雙 1
干休 干休 1
劉琮 劉琮 8
傅巽 傅巽 1
韓玄 韓玄 1
劉封 劉封 2
曹營 曹營 1
糜子 糜子 1
仁德 仁德 1
夏侯 夏侯 1
曹仁 曹仁 2
焦觸 焦觸 1
雲謂 雲謂 1
何生哉 何生哉 1
劉嗣 劉嗣 1
曹躁必 曹躁必 1
馬軍 馬軍 1
止因吾 止因吾 1
孤城 孤城 1
扶危 扶危 1
張允 張允 8
蔡瑁 蔡瑁 7
曹躁 曹躁 8
王粲 王粲 1
真虎 真虎 1
糜芳 糜芳 5
曹仁部 曹仁部 1
