Id Label Weight
曹家 曹家 1
都尉 都尉 2
謝恩 謝恩 1
賈翊曰 賈翊曰 1
蒙賜爵 蒙賜爵 1
郭二 郭二 1
白旗 白旗 1
馬騰 馬騰 11
公乃吾 公乃吾 1
諸侯 諸侯 2
董卓 董卓 1
特宣朱 特宣朱 1
方雪吾 方雪吾 1
望風 望風 1
子孫 子孫 1
鮑信 鮑信 3
公亦 公亦 1
何爵 何爵 1
施小策 施小策 1
郭二人 郭二人 1
劉曄 劉曄 1
曹兵 曹兵 3
馬超 馬超 10
明公何 明公何 1
馬屯 馬屯 1
西涼軍 西涼軍 3
袁紹 袁紹 2
於禁 於禁 1
陳留 陳留 1
平陽侯 平陽侯 1
於天 於天 1
聞二軍 聞二軍 1
留平 留平 1
干戈 干戈 1
曹操 曹操 2
巨平 巨平 1
曹孟德 曹孟德 1
溫厚純 溫厚純 1
同秉 同秉 1
語大悅 語大悅 1
今棄紹 今棄紹 1
曹躁亦 曹躁亦 2
劉理 劉理 1
候晴 候晴 1
曹豹 曹豹 2
呂氏 呂氏 1
卿欲封 卿欲封 1
招賢 招賢 1
馬宇 馬宇 2
侍帝 侍帝 1
荀攸 荀攸 2
韋試 韋試 1
範縣 範縣 1
侍郎 侍郎 1
立於風 立於風 1
施禮 施禮 1
邊讓 邊讓 1
李蒙 李蒙 12
郭汜 郭汜 10
王方 王方 9
曹嵩 曹嵩 7
夏侯 夏侯 5
陳宮 陳宮 2
池陽侯 池陽侯 1
王允 王允 1
聞曹 聞曹 2
武有猛 武有猛 1
陶謙 陶謙 18
西涼兵 西涼兵 2
韓遂 韓遂 14
英勇 英勇 1
毛玠 毛玠 1
弘農 弘農 1
劉范 劉范 2
加曹 加曹 1
荀彧 荀彧 1
望明公 望明公 1
聞明公 聞明公 1
曹德 曹德 2
今特薦 今特薦 1
仁人君子 仁人君子 1
滿寵 滿寵 1
太僕 太僕 1
封為太僕 封為太僕 1
左中郎 左中郎 1
黃巾 黃巾 1
荀緄 荀緄 1
賈詡 賈詡 4
應劭 應劭 3
納士 納士 1
陳倉 陳倉 1
樊稠 樊稠 16
招安 招安 1
樊四人 樊四人 1
忻然 忻然 1
雷雨 雷雨 1
呂虔 呂虔 2
程昱 程昱 3
仰天 仰天 1
張濟 張濟 10
封李 封李 1
于禁 于禁 1
郭汜令 郭汜令 1
典韋 典韋 1
東郡 東郡 1
郭嘉 郭嘉 2
成德人 成德人 1
韋下馬 韋下馬 1
張邈 張邈 2
昌邑 昌邑 1
馬攔路 馬攔路 1
齊聲 齊聲 1
侍中 侍中 1
聞知 聞知 1
曹躁 曹躁 5
李別 李別 1
忻喜 忻喜 1
