Id Label Weight
孟優 孟優 13
孔明求 孔明求 1
關索 關索 1
孔明寨 孔明寨 1
諸葛亮 諸葛亮 42
安然 安然 2
呂凱 呂凱 2
孔明方 孔明方 1
牛宰馬 牛宰馬 1
承嗣君 承嗣君 1
孔明乃 孔明乃 1
蒙丞相 蒙丞相 1
今承聖 今承聖 1
孟獲 孟獲 35
仰承 仰承 1
孟節 孟節 5
金帛贈 金帛贈 1
今汝 今汝 1
汲其水 汲其水 1
於軍 於軍 1
柏子茶 柏子茶 1
饒汝 饒汝 1
老叟 老叟 7
張翼 張翼 3
雲蒸 雲蒸 1
汝當諫 汝當諫 1
隆名 隆名 1
於朵思 於朵思 1
於河 於河 1
波將軍 波將軍 1
柳花 柳花 1
武侯曾 武侯曾 1
魏延解 魏延解 1
趙雲 趙雲 3
王平 王平 4
孔明笑 孔明笑 2
孔明止 孔明止 1
朵思大王 朵思大王 7
沙塞客 沙塞客 1
孔明拜 孔明拜 2
湯無異 湯無異 1
令二子 令二子 1
汝何 汝何 1
孔明入 孔明入 1
施權 施權 1
諸葛虔 諸葛虔 1
蔣琬 蔣琬 1
南征 南征 1
汝之能 汝之能 1
諸葛棄 諸葛棄 1
孔明重 孔明重 1
孔明只 孔明只 1
楊鋒 楊鋒 7
諸洞壯 諸洞壯 1
孔明自 孔明自 1
古木 古木 1
老夫 老夫 4
忻然 忻然 3
孔明曰 孔明曰 9
馬岱 馬岱 2
孫孫 孫孫 1
汲水 汲水 2
孔明遂 孔明遂 1
望之 望之 2
武鄉侯 武鄉侯 1
諸泉 諸泉 1
諸葛 諸葛 1
王化 王化 2
望東 望東 1
魏延 魏延 2
解其繩索 解其繩索 1
漢伏波 漢伏波 2
孔明先 孔明先 2
蒙伏波 蒙伏波 1
無一 無一 1
立公 立公 1
童子 童子 2
馬忠 馬忠 1
招安 招安 1
言撫慰 言撫慰 1
孔明告 孔明告 1
汝若 汝若 1
汝兄 汝兄 1
若蜀兵 若蜀兵 2
若雲錦 若雲錦 1
黑泉 黑泉 3
山澤欲 山澤欲 1
山惡嶺 山惡嶺 1
耿恭 耿恭 1
解之 解之 1
魏延入 魏延入 1
望山 望山 1
任諸葛 任諸葛 1
立廟祀 立廟祀 1
陰雲 陰雲 1
何勞 何勞 1
馬飛 馬飛 1
汝兄愚 汝兄愚 1
南蠻 南蠻 1
戴綸巾 戴綸巾 1
銀冶洞 銀冶洞 1
焦枯 焦枯 1
托孤 托孤 3
