Id Label Weight
陶使君 陶使君 1
都尉 都尉 1
馬於門 馬於門 1
宋憲 宋憲 2
雙戟 雙戟 1
顧從人 顧從人 1
張飛 張飛 7
玄德留 玄德留 1
慈同郡 慈同郡 1
修書付 修書付 1
慈倚 慈倚 1
樂進 樂進 3
典韋 典韋 3
龐舒 龐舒 2
李膺 李膺 1
慈亦 慈亦 1
孔融 孔融 29
漢之臣 漢之臣 1
立馬陣 立馬陣 1
公以備 公以備 1
左有 左有 1
田楷 田楷 6
漢家 漢家 1
曹性 曹性 2
于禁 于禁 2
王綱 王綱 1
金帛相 金帛相 1
郝萌 郝萌 2
韋乃飛 韋乃飛 1
明公先 明公先 1
袁紹 袁紹 2
袁術 袁術 3
布軍 布軍 3
小沛 小沛 3
於禁 於禁 3
夏侯 夏侯 2
融常 融常 1
玄德乃 玄德乃 1
關羽 關羽 7
楊納 楊納 1
粟帛 粟帛 1
布因棄 布因棄 1
陳宮 陳宮 6
曹操 曹操 1
慈連 慈連 1
聞君仁 聞君仁 1
孔北海 孔北海 2
曹孟德 曹孟德 1
布乃 布乃 1
陳煒 陳煒 1
陳兵 陳兵 1
曹躁兵 曹躁兵 2
趙雲 趙雲 6
玄德兵 玄德兵 1
德廣才 德廣才 1
曹躁笑 曹躁笑 1
殷富 殷富 1
山后 山后 1
竺乃 竺乃 1
高順 高順 4
侯成引 侯成引 1
陶恭祖 陶恭祖 4
陳元 陳元 2
蒙恩 蒙恩 1
李封 李封 1
玄德曰 玄德曰 12
融喜 融喜 1
範縣 範縣 2
老夫 老夫 4
張楊 張楊 3
弓矢 弓矢 1
明公勿 明公勿 1
郭汜知 郭汜知 1
董卓 董卓 1
曹軍 曹軍 2
曹侯 曹侯 1
孔子 孔子 2
顏見母 顏見母 1
公孫瓚 公孫瓚 2
汝家 汝家 1
施禮 施禮 1
曹躁襲 曹躁襲 1
若得寨 若得寨 1
融教一 融教一 1
陶謙 陶謙 13
賴荀 賴荀 1
布乃撥 布乃撥 1
玄德入 玄德入 2
汝可引 汝可引 1
魏續 魏續 3
曹躁征 曹躁征 1
呂布 呂布 23
宗寶 宗寶 2
曹嵩 曹嵩 1
侯成 侯成 2
融與君 融與君 1
竺大驚 竺大驚 1
仁人君子 仁人君子 1
管亥 管亥 12
黃巾 黃巾 1
聞曹兵 聞曹兵 1
一將 一將 1
火德星君 火德星君 1
海宇 海宇 1
慈奉母 慈奉母 1
太史慈 太史慈 10
東阿 東阿 2
孔宙 孔宙 1
劉備 劉備 34
糜竺至 糜竺至 1
糜竺 糜竺 10
呂溫侯 呂溫侯 1
壽春 壽春 1
苗裔 苗裔 1
張超 張超 1
郭之 郭之 1
雙鐵戟 雙鐵戟 1
曹洪 曹洪 2
汝祖 汝祖 1
呂虔 呂虔 2
程昱 程昱 2
曹兵遠 曹兵遠 1
曹兵寨 曹兵寨 1
容圖 容圖 1
成廉 成廉 2
汝二人 汝二人 1
張燕 張燕 1
薛蘭 薛蘭 4
望明公 望明公 1
張引 張引 2
公乃漢 公乃漢 2
曹營 曹營 1
郭嘉 郭嘉 3
寇城 寇城 1
曹仁 曹仁 3
李典 李典 1
何愁曹 何愁曹 1
陳登 陳登 2
曹兵 曹兵 4
許之 許之 1
伏兵 伏兵 1
劉繇 劉繇 1
張邈 張邈 4
馬軍 馬軍 2
英勇 英勇 1
玄德遂 玄德遂 1
富豪 富豪 1
臧霸 臧霸 3
馬飛 馬飛 1
曹躁 曹躁 4
張遼 張遼 3
劉公乃 劉公乃 1
