Id Label Weight
孟優 孟優 10
關索 關索 3
孔明重 孔明重 1
歸順 歸順 1
魏延入 魏延入 1
孔明自 孔明自 1
孫權 孫權 1
小舟 小舟 1
天恩 天恩 1
令汝 令汝 1
呂凱 呂凱 4
孔明提 孔明提 1
汝軍 汝軍 1
忻然 忻然 1
子子孫 子子孫 1
孔明曰 孔明曰 12
馬岱 馬岱 19
明言 明言 1
陳兵列 陳兵列 1
孔明遂 孔明遂 1
孟獲 孟獲 52
張良 張良 1
汝之 汝之 1
於大 於大 1
魏延 魏延 2
饒汝 饒汝 1
大醉 大醉 1
孔明教 孔明教 1
張嶷 張嶷 1
張翼 張翼 1
魏延引 魏延引 1
汝知 汝知 1
馬忠 馬忠 2
汝弟 汝弟 1
招安 招安 2
續後 續後 1
汝之能 汝之能 1
言撫慰 言撫慰 1
方召 方召 1
董荼那 董荼那 16
陰涼 陰涼 1
孔明回 孔明回 1
施謀 施謀 1
齊鳴 齊鳴 1
大恩 大恩 1
汝兄 汝兄 1
容某 容某 1
孔明一一 孔明一一 1
公勿 公勿 1
趙雲 趙雲 4
阿會喃 阿會喃 4
汝尚自愚 汝尚自愚 1
孔明笑 孔明笑 5
黃發紫 黃發紫 1
汝可 汝可 1
宰羊 宰羊 1
諸多蠻 諸多蠻 1
孔明之 孔明之 1
孔明渡 孔明渡 1
望本洞 望本洞 1
馬謖 馬謖 4
諸營 諸營 1
諸葛 諸葛 1
弓弩 弓弩 1
諸洞 諸洞 1
馬軍 馬軍 1
忙牙長 忙牙長 2
汝若早 汝若早 1
汝等亦 汝等亦 1
諸葛亮 諸葛亮 36
望見蠻 望見蠻 1
汝蠻 汝蠻 1
寶貝 寶貝 4
汝安 汝安 1
曹躁 曹躁 1
王平 王平 4
水冷 水冷 1
殷勤 殷勤 2
蔣琬 蔣琬 3
金珠 金珠 1
林木 林木 1
依山 依山 1
