Id Label Weight
宮嘉德 宮嘉德 1
都尉 都尉 1
崔烈 崔烈 1
吳匡 吳匡 2
何苗 何苗 2
聞賢弟 聞賢弟 1
王允 王允 1
閔貢 閔貢 2
布沈吟 布沈吟 1
董卓 董卓 16
那馬渾 那馬渾 1
卓兵 卓兵 1
布揖 布揖 1
呂布 呂布 12
呂將軍 呂將軍 1
鮑信 鮑信 3
卓喜 卓喜 1
陳留王 陳留王 16
布驚 布驚 1
卓自 卓自 1
信自引 信自引 1
何進 何進 13
袁紹 袁紹 14
袁術 袁術 3
卓乃止 卓乃止 1
陳留 陳留 1
公乃外 公乃外 1
公若 公若 2
卓大怒 卓大怒 1
侍衛 侍衛 1
淳于瓊 淳于瓊 1
崔毅 崔毅 4
曹操 曹操 1
卓先 卓先 1
公卿 公卿 2
陳琳 陳琳 1
曹節 曹節 1
蔡邕 蔡邕 1
馬挺戟 馬挺戟 1
楊彪 楊彪 1
弘農王 弘農王 1
馬與帝 馬與帝 1
任虎賁 任虎賁 1
敬賢 敬賢 1
李儒 李儒 9
何惜 何惜 1
托疾 托疾 1
樊稠 樊稠 1
王勒馬 王勒馬 1
汝言 汝言 1
侍御史 侍御史 1
左將軍 左將軍 1
宮諭止 宮諭止 1
牛輔 牛輔 1
匡大呼 匡大呼 1
佩劍 佩劍 1
布與肅 布與肅 1
青瑣 青瑣 1
匡扶 匡扶 1
徐徐 徐徐 1
郭勝 郭勝 1
溫明園 溫明園 1
令尊 令尊 1
宮耶 宮耶 1
太后 太后 8
李肅 李肅 4
莊主 莊主 1
郭汜 郭汜 1
於青 於青 1
左軍 左軍 1
董公 董公 1
王非王 王非王 1
盧植 盧植 4
帝立 帝立 1
言撫慰 言撫慰 1
明仁 明仁 1
何太后 何太后 3
卓按劍 卓按劍 2
嘉德殿 嘉德殿 1
侯覽 侯覽 1
卓暗奇 卓暗奇 1
司徒王允 司徒王允 2
有良馬 有良馬 1
趙忠 趙忠 1
卓按兵 卓按兵 1
金甲錦 金甲錦 1
丁原 丁原 18
榮貴 榮貴 1
宣諭 宣諭 1
甘雨 甘雨 1
卓怒 卓怒 1
明珠 明珠 1
卓待 卓待 1
玉璽 玉璽 1
卓大喜 卓大喜 3
亦拔劍 亦拔劍 1
無伊尹 無伊尹 1
伊尹 伊尹 2
宣大將軍 宣大將軍 1
帝非帝 帝非帝 1
張讓 張讓 7
袁隗 袁隗 1
王伏 王伏 1
伊尹放 伊尹放 1
帝入莊 帝入莊 1
謝肅 謝肅 1
富貴 富貴 1
布納卓 布納卓 1
唐猊 唐猊 1
原正秉燭 原正秉燭 1
諸官 諸官 1
昌邑王 昌邑王 1
貢遂 貢遂 1
都亭侯 都亭侯 1
公卿皆 公卿皆 1
布提刀 布提刀 1
軒昂 軒昂 1
張濟 張濟 1
常侍之 常侍之 2
卓乃入 卓乃入 1
趙萌 趙萌 1
封弟 封弟 1
盧尚書 盧尚書 1
太尉 太尉 1
王臥 王臥 1
彭伯 彭伯 1
貢見帝 貢見帝 1
賁中郎 賁中郎 2
伏甲齊 伏甲齊 1
西涼 西涼 2
無威儀 無威儀 1
卓乃 卓乃 1
尚為虎 尚為虎 1
於園 於園 1
汝子乎 汝子乎 1
夏惲 夏惲 1
汝本屠 汝本屠 1
植大呼 植大呼 1
霍光 霍光 1
侍中 侍中 1
汝劍利 汝劍利 1
常侍 常侍 1
馬亦 馬亦 1
曹躁 曹躁 1
鄭泰 鄭泰 2
霍之大才 霍之大才 1
霍光告 霍光告 1
程曠 程曠 1
